,Review_Text,Rating,Persona,Age,Location,Body_Type,Review_Date,Item_Name
22,These pants were amazing the first month of their lives and now they are horrifying. They have pilled in places I didn't think pilling was possible. Even with correct washing they look like absolute garbage. I have never been disappointed in a product from Lululemon until now.,2,RUNNER,25-34,CALGARY,CURVY,"MAY 23, 2019","Align Pant II 25"""
23,"These pants are great to wear and are very comfortable but just standing in them seems to cause extreme pilling and running in the fabric and I now have numerous small holes where threads have come out. The fit and feel of the pants is great, they just don't seem to hold up beyond a few weeks. If money is no object and you are ok replacing them after a few wears great, but for something I would like to at least last the summer I wouldn't recommend:(",2,SWEATY GENERALIST,25-34,"WINNIPEG, MB, CANADA",SLIM,"MAY 21, 2019","Align Pant II 25"""
24,They pilled so bad and fast. Not even just between my legs but all over. They really look old and ratty fast. They are SO comfortable and don't move around during yoga classes. I want to love them! But for how much money the cost- they don't last or look good enough. Very disappointed!,2,YOGI,25-34,,CURVY,"MAY 20, 2019","Align Pant II 25"""
25,"I was recommended these tights by the salesperson in the store, as I am pregnant and they are a good stretchy comfy workout pant that isn't too tight. They're really comfortable, but after wearing them only once, the crotch has pilled (I have an athletic build) so badly! The stitching on the waist band has also started to loosen and fray. I am pretty disappointed in these pants. I only washed them once (no dryer) inside out, and they already look so worn out. Was expecting more for the price.",2,SWEATY GENERALIST,25-34,"KAMLOOPS, BC",MUSCULAR,"MAY 18, 2019","Align Pant II 25"""
26,"I am always SUPER careful when taking care of my pants (cold wash only with other Lulu pants,, no dryer, etc.), yet these are already pilling after wearing them about 10 times. Some other pants that I've had for YEARS and are much, MUCH cheaper hold up WAY better than these pants. They are definitely comfortable but I'm certainly not convinced that they are worth what's on the price tag!",2,SWEATY GENERALIST,25-34,"CALGARY, AB",LEAN,"MAY 10, 2019","Align Pant II 25"""
27,"I was so excited when i got these pants because they're sooo comfy and cute. However, they started to pill in the crotch and thigh area after 2 wears! I paid over $100 for them, and I am afraid to wear them because I am worried the crotch area will wear out, and I'll end up with a hole there. I didn't think they would pill so easily.",2,SWEATY GENERALIST,25-34,"TORONTO, ON",ATHLETIC,"MAY 10, 2019","Align Pant II 25"""
28,"I have a pair of black full length aligns that have held up a little bit better. I bought these in the Deep Ruby. Love, love, love the fit and feel of these. Today was the second time I have worn them and they have pilled on the inside of the right knee and back of the left in the strangest spot. Super disappointed that the quality of lulu leggings continue to get worse and worse and of course I keep buying them. I would return but am obsessed with the color and they are sold out in my size to replace. I will definitely be sticking to the luxtreme wunder unders which I live in and they don't pill and last longer.",2,SWEATY GENERALIST,25-34,"CALGARY, AB, CANADA",SLIM,"MAY 2, 2019","Align Pant II 25"""
29,"I own a few pairs of lulu pants/tights, but this is my first pair of Align tights. My first impression was that they were soooooo comfy and really soft fabric. However, I'm pretty disappointed that strands from the seams are pilling/falling apart after only two wears. Overall, super comfortable pants, but poor quality for the price.",2,SWEATY GENERALIST,25-34,"KELOWNA, BC",ATHLETIC,"APRIL 25, 2019","Align Pant II 25"""
30,"This year was the first year of me purchasing leggings from Lululemon. I have always purchased jackets and shorts, but I finally gave in and decided that aligns would be my first pair of lulu leggings. I purchased a black pair of aligns in size 4. They fit pretty well and like most reviews, they are super comfortable. I did hear about the pilling issue and I was determined to keep that from happening. Upon my third wear, I noticed pilling appeared on the side of the bottom right leg above my ankle. I was pretty disappointed when I saw the pilling and I didn't even use them for workouts. I have bought other lulu leggings since, and I now wear the aligns less often. I prefer the fast & free over the aligns. The aligns are very comfortable and the fabric feels fantastic. I would not recommend getting these if you have an issue with pilling as it will happen. The aligns are not worth $100.",2,RUNNER,25-34,"VANCOUVER, BC",PETITE,"APRIL 18, 2019","Align Pant II 25"""
31,"I have been a lululemon customer since 2006 and absolutely love the products. These pants were amazing when I first tried them on. They are extremely comfortable and the fit is amazing. However, in comparison to all other pants I own from Lululemon, these are my least favorite, based on quality. I bought these in February 2019 and they started piling after a couple wears, as well as what looks like pieces of thread. I would definitely not recommend these.",2,SWEATY GENERALIST,25-34,"EDMONTON, AB",CURVY,"APRIL 14, 2019","Align Pant II 25"""
32,love the fit of these but they started piling quickly. i own a TON of lulu and never had a problem with any of their pieces but these do not seem like they will last unfortunately. they started piling after a few wears and i'm super disappointed... really wish i had read the reviews before buying them.,2,SWEATY GENERALIST,25-34,WHITEHORSE,ATHLETIC,"APRIL 12, 2019","Align Pant II 25"""
33,"I love these pants...the feel, the fit, the color selection, etc. but the piling I have experienced with these pants is a lot! Interestingly enough, I have not had such bad piling with every pair, but one has piling all over. Even on the front which i never even touch. I hand wash them and I am very gentle so maybe I just had a poor pair?",2,SWEATY GENERALIST,25-34,"VICTORIA, BC",ATHLETIC,"APRIL 7, 2019","Align Pant II 25"""
34,"I don't know why I keep buying these pants, I want to love them because they ares so comfortable on your skin but.. every pair I have owned does the same thing. They pill extremely fast, and fray at the seams despite washing them according to the instructions, what is the point in spending over $100 if this is the case. I would rather spend my money on less expensive pants if the result is pilling, and fraying once you wash them. These pants are light weight and so comfy, however, I am very disappointed that the material just does not hold up to the quality.. I think I am at the point where I am not going to ever buy these pants again.",2,SWEATY GENERALIST,25-34,CANADA,LEAN,"APRIL 2, 2019","Align Pant II 25"""
35,"I've been looking for a new style of lulu leggings to love since the skinny grooves were discontinued. I recently bought a pair of these and I love how they feel and the compression. BUT I washed them once and they are already pilling :(
I love how they feel on and how they look but really pilling after once wash? I followed the washing exactly so I am pretty sad that a pair of $100 of leggings can never be washed :(",2,DANCER,25-34,"EDMONTON, AB",CURVY,"APRIL 2, 2019","Align Pant II 25"""
36,"I ordered these pants, the feel was amazing and the fit was great. I follow lulu's washing directions to a tee, as I have quiet a bit of their other products and enjoy them, but after only wearing these pants 5-6 times, they're pulling at the seem and balling! 110$ pants and the quality has been no better than my 25$ pair from Urban Planet. Extremely disappointed. My sister, daughter and niece all bought the same pants- ALL of our pants were ruined within weeks. I would HIGHLY RECOMMEND STAYING AWAY FROM THESE PANTS. VERY POOR QUALITY.",2,RUNNER,25-34,"TIMMINS, ON",PETITE,"MARCH 31, 2019","Align Pant II 25"""
37,"I really want to love these, so bad in fact I bought two pairs. I wanted to love these especially because of the high waist and the 25inch inseam (yay for short people), but the pilling is preventing me from being all in. If it wasn’t for the price it would be something I would overlook, but given how expensive these are I just can’t give it more than 2 stars because of the pilling.",2,SWEATY GENERALIST,25-34,TORONTO,PETITE,"MARCH 31, 2019","Align Pant II 25"""
38,"Absolutely love how soft the fabric is and the Align pants are just so comfortable. However, unfortunately after only about 3 wears there was tons of piling in between the thighs So disappointing, especially for the cost of these pants. Not sure I can justify buying another pair, even though initially I was in love with them.",2,SWEATY GENERALIST,25-34,"EDMONTON, AB",CURVY,"MARCH 25, 2019","Align Pant II 25"""
39,"I LOVE these pants. They were the only pants that worked for me pre and post baby. The rise was perfect over my belly, they did not lose their shape, nor did I have to pull them up constantly.",2,SWEATY GENERALIST,25-34,"CALGARY, AB",ATHLETIC,"MARCH 22, 2019","Align Pant II 25"""
40,"These have to be one of the most comfortable pairs of pants, they literally feel better then wearing nothing, but the pilling is awful on them, and after a few wears (even with hanging to dry and washing seperate) they start to look awful because of the pilling. The seam has also started to come out in some areas.",2,YOGI,25-34,"EDMONTON, AB",CURVY,"MARCH 19, 2019","Align Pant II 25"""
41,"The review title says all. The pants are very comfortable but they are totally not worth the price. They started to pill badly especially around thigh areas. For the price, I expect more quality pants that last longer. I really hope that Lululemon tackle the issue of pilling of these pants.",2,YOGI,25-34,,ATHLETIC,"MARCH 16, 2019","Align Pant II 25"""
42,"Absolutely love the high-waisted fit and how comfy these are. After hearing about the pilling, I was careful not to put the leggings through high-intensity workouts or out-of-ordinary activities that would cause the fabric to rub and pill. However, I was really disappointed that the leggings still pilled and the pilling just got worse with time. I can understand it happening over extended periods of wear, but this happened after just a few months of wear.",2,SWEATY GENERALIST,25-34,"EDMONTON, AB",ATHLETIC,"MARCH 11, 2019","Align Pant II 25"""
43,I have a double-edged sword review here.,2,SWEATY GENERALIST,25-34,"VANCOUVER, BC",MUSCULAR,"MARCH 6, 2019","Align Pant II 25"""
44,"Unfortunately I have spent too much money on pants that haven't lived up quality wise to my expectations of a brand like lululemon. I have purchased three pairs of Align Pants and ALL of them have become so pilled they are unwearable out of the house. I am VERY cautious with how I take care of my aligns and have never had any issues in the past. For the last three pants I have purchased they have fallen apart. I wash them in a cold, delicate cycle and hang to dry. I do not wear them to exercise, I use my Wunder Unders for that. Literally I mostly wear these pants in the house and maybe out doing errands or on my way to work before I change. I am incredibly disappointed. I love Lulu, but this is not acceptable.",2,SWEATY GENERALIST,25-34,"TORONTO, ON",SLIM,"MARCH 4, 2019","Align Pant II 25"""
45,i like these pants but the run large always having to pull them up and i have only worn them twice ordered my regular size 4 and they feel like they are not true to size so beware ......,2,RUNNER,25-34,POWELL RIVER,SLIM,"MARCH 4, 2019","Align Pant II 25"""
46,Ordered these a month ago have worn them about 3 times to have excessive pilling between the legs. I’m very disappointed because I love the soft feel of these pants as well as the emerald color but they look like I have had them for about 5 years after only a few wears. Disappointed in this product.,2,CYCLIST,25-34,WINNIPEG,CURVY,"MARCH 4, 2019","Align Pant II 25"""
47,"When I found out I was pregnant, all of my friends told me to buy the Align Pant because they loved them and swore by them throughout their pregnancy. I bought a pair in December in anticipation of wearing them when I outgrew my regular pants. After just three washes, they're pilling along the front of my thighs! I'm usually a 4 and bought a 6 so I don't think it's a size issue. This is disappointing because I was hoping these would be my go-to pants.",2,SWEATY GENERALIST,25-34,"VANCOUVER, BC",ATHLETIC,"MARCH 1, 2019","Align Pant II 25"""
48,"These pants were a huge disappointment for me... the very first time I wore them, they started pilling like crazy in my inner thighs. Honestly, I can’t believe how much they’re pilling! I just cannot wear them outside of home. It’s very unfortunate because I loved the fabric at first. I adore my full on luon and my full luxtreme, and will stick to these... The align pants are simple not worth 100$...",2,SWEATY GENERALIST,25-34,CANADA,ATHLETIC,"MARCH 1, 2019","Align Pant II 25"""
49,"I loved the fit and comfort of these pants so much, which is why I was so sad when I noticed rapid wear and horrible pilling in the inner thighs area after only a few times of wearing them. They look great, are super comfortable, but the pilling made my pants into my ""wear to bed"" or ""house clothes"" as I don't want to look cheap in them out in public. It's really too bad, because I love how they look and feel.",2,SWEATY GENERALIST,25-34,"MONTREAL, QC",CURVY,"FEBRUARY 27, 2019","Align Pant II 25"""
50,"I love ALL my lululemon pants! I was excited for these pants because of the super high waist, but I was disappointed because they are very thin and piling in the inner thigh area.
They are very soft and comfy, but they are not made to last like other lululemon pants.",2,RUNNER,25-34,,ATHLETIC,"FEBRUARY 25, 2019","Align Pant II 25"""
51,I bought the align tights with a Christmas gift card. I put them on for the first time today (I am a substitute gym teacher) and by the time I got to school they were all ready pilling. Very disappointing. Very expensive to already be ruined!,2,YOGI,25-34,"WINNIPEG, MB",ATHLETIC,"FEBRUARY 21, 2019","Align Pant II 25"""
52,"Got these pants with a gift card I received for Christmas - so they're only about 6 weeks old. Worn maybe once a week, and the pilling is terrible :( so sad as they are comfy! So disappointed with the pilling.",2,SWEATY GENERALIST,25-34,"FORT MCMURRAY, AB",ATHLETIC,"FEBRUARY 21, 2019","Align Pant II 25"""
53,I made the mistake of buying two pairs of these thinking they would be amazing. One pair is 3 months old and one pair is 2 months old and both are badly pilled in the crotch area. The first pair has loose threads on one of the legs which happened right after I got them. Super disappointed in the poor quality of these pants. I wash on delicate and hang to dry and pilling still happened. Don't waste your money.,2,SWEATY GENERALIST,25-34,"CHARLOTTETOWN, PE",PETITE,"FEBRUARY 18, 2019","Align Pant II 25"""
54,I am a runner and do yoga 3 times a week. These were good for about a week. They don’t stay up at all while running and I find myself pulling them up a lot in yoga. I wash all my lulus correctly and these ones pill almost right away.,2,RUNNER,25-34,SASKATCHEWAN,CURVY,"FEBRUARY 14, 2019","Align Pant II 25"""
55,"These pants were my fave for about two months and then the piling started. In between the legs, really badly.",2,YOGI,25-34,,CURVY,"FEBRUARY 12, 2019","Align Pant II 25"""
56,"I really loved these pants when I purchased them, I ordered additional pairs in other colours and told all my friends about how comfy they are unfortunatly The pants started to pill badly. This pant is super comfy but the PILLING is a problem.",2,SWEATY GENERALIST,25-34,FORT MCMURRAY,LEAN,"FEBRUARY 10, 2019","Align Pant II 25"""
57,"Love the feel of these pants and they are amazing for hot yoga, but my black pair started pilling immediately even when I cold wash hang to dry... However I have the dark green pair as well which don't seem to be pilling at all - but they seem to be unraveling. Wish I could buy them in every colour but it's just not affordable when they don't hold up!",2,YOGI,25-34,"NEW BRUNSWICK, CA",ATHLETIC,"FEBRUARY 9, 2019","Align Pant II 25"""
58,"I have 3 other pairs of lululemon pants, and I swear by them! When I first put these on, I loved these so much. I knew I wanted to order another one in a different colour. However after 4-5 wears these pants started piling. I wasn't working out with them, I only wore them throughout the day - to lounge in and do some errands. I'm really disappointed because I really wanted to love these...theyre super comfy but for $100 they pilled way too quickly. I don't think particular leggings these live up to lululemon quality.",2,YOGI,25-34,"TORONTO, ONTARIO",PETITE,"FEBRUARY 2, 2019","Align Pant II 25"""
59,Reaaly desapointed in these because they peeled right away...I don't think a legging of thus price should peeled right away... Have them in different colour but my black ones are damage...sad for 112$,2,RUNNER,25-34,MONTREAL,CURVY,"FEBRUARY 2, 2019","Align Pant II 25"""
60,"These pants are so disappointing! I absolutely loved them when I got them just over a month ago. They're so soft and comfortable, and I love the high waist. I've followed all the care instructions and treat them like a newborn baby. However, the stitching at the waist band is beginning to unravel ever so slightly and there is pilling on the hips. I only use the pants for yoga, never for out-and-about or lounging around the house. I guess the material is just too delicate, especially for this price point.",2,SWEATY GENERALIST,25-34,"TORONTO, ON",CURVY,"JANUARY 29, 2019","Align Pant II 25"""
61,"I received these as a gift for Christmas. At first touch and wear, they were amazing. Soft, comfy, and fit really nice. On my second wear, I noticed they were pilling majorly in the inner thigh and crotch. I've worn them maybe a handful of times since I've received them and I'm scared to wash them in a washer in case the pilling gets worse!",2,SWEATY GENERALIST,25-34,"EDMONTON, AB",MUSCULAR,"JANUARY 28, 2019","Align Pant II 25"""
62,"I want so desperately to love these leggings: the colours are great, the material is so gosh-darn comfortable and the fit is incredibly flattering (love the high waist and cropped leg look). I want to love them so much I have bought 3 separate pairs, thinking each time the last pant was just a one-off from a bad batch. However, after minimal wear over a the course of a few months each pair has gotten wildly pilled on the thighs/crotch and stretched beyond wear. Perhaps these leggings are okay for the occasional mellow yoga class, but in terms of everyday use they don’t quite seem up to the job- which sucks becasue you want to wear them all the time!",2,SWEATY GENERALIST,25-34,"CALGARY, AB",ATHLETIC,"JANUARY 24, 2019","Align Pant II 25"""
63,"These are my favourite pants based on comfort and the softness of the fabric, which is why I've had them more than once. But I've now had two pairs of these pants, and both have pilled in the crotch and both gotten holes on the seams in the crotch. Won't be buying them again. I expect a lot more for the price, I have cheaper leggings that hold up way better.",2,YOGI,25-34,"CALGARY, AB",CURVY,"JANUARY 22, 2019","Align Pant II 25"""
64,"My sister warned me after I had already cut off the tags and started wearing these that they pill insanely quickly & severely, but I was hoping that wouldn't happen since I've never had any significant issues with my Lulu gear. I got these because the fabric was so buttery soft and a great at-home lounge pant—and that's all I've used them for. I've worn them around the house a total of five times since I got them less than a month ago. I haven't even put them through the wash yet and they're already pilling near the right ankle. So incredibly disappointed as these leggings aren't cheap and I usually get at least a few years' wear out of my Lulu leggings before needing to upgrade.",2,YOGI,25-34,"VANCOUVER, BC",ATHLETIC,"JANUARY 8, 2019","Align Pant II 25"""
65,These are definitely the most comfortable pair of leggings that Lulu has to offer. They fit perfectly and are perfectly light. I love wearing them BUT they pill so bad in the thigh area. I don't wear aligns for intense workouts as I don't feel they are the right type of legging to wear for them but I do love to wear them casually and during light workouts. I've been tempted to buy more pairs because they are really comfortable but the pair I have right now pilled after only a couple of wears and I am concerned that holes are going to form on the thighs soon. My sisters both have align pants and they pill as well. I have other types of Lulu leggings and they do not pill like the aligns do. If this is improved I would definitely buy more pairs.,2,SWEATY GENERALIST,25-34,"CALGARY, ALBERTA",MUSCULAR,"JANUARY 7, 2019","Align Pant II 25"""
66,"Gave these pants as a gift. They were great at first and the fit was perfect, but after only 1 or 2 washes, they started pilling. They were washed per the instructions.",2,SWEATY GENERALIST,25-34,TORONTO,ATHLETIC,"JANUARY 6, 2019","Align Pant II 25"""
67,"I love the feeling of these so much that after one wear I went back for a second pair in another color. They're incredibly soft and feel like a second skin, and yet somehow offer enough support to not show lumps and bumps. I love the high waist on them too.
HOWEVER
After wearing twice there was bad pilling on the upper inner thighs and I had only worn them around the house at that point. I'm terrified to wear these to the gym. If I were to run or hike in them they'd be an absolute disaster within hours. I'm so sad these are not going to hold up because I really thought I'd found the ultimate leggings.",2,SWEATY GENERALIST,25-34,"ALBERTA, CANADA",MUSCULAR,"JANUARY 4, 2019","Align Pant II 25"""
68,I love the material and fit but I hate the pilling. I have these in blue and black and neither pair is holding up as well as I would expect. I'm so disappointed in the pilling between the legs. I know that the material is very delicate and so I have never worn them for any activity more strenuous than walking around my house or the grocery store.,2,SWEATY GENERALIST,25-34,,MUSCULAR,"DECEMBER 27, 2018","Align Pant II 25"""
69,,2,YOGI,25-34,"MONTRÉAL, QC",CURVY,"DECEMBER 19, 2018","Align Pant II 25"""
70,"I have bought various lululemon leggings in the past, and Align is far the best looking, feeling, just everything! I have accepted the fate that I will always get pilling on the inner thigh as I walk a lot. However, the disappointing part was that the thread is not done well and the quality control does not live up to $100 price tag. I always hand wash my leggings inside out with lukewarm water but after the first hand wash, the inner thigh thread close to the crotch area came loose. Now when I stand, you can see the messy loose thread near my crotch area and it is definitely not a pretty look. I am afraid this will get looser and messier. I cannot believe this happened when I hand washed the leggings inside out, not even laundry machine. Also, the quality control is not consistent. I am aware that Nulu material is delicate and can stretch depending on how you store it. However, the 2 pairs I bought from store, in the same size, the length is different and the width at the end of the leggings is different. I know my size, so did not try in store, and cut the tag before I actually wear them out. Then only to realize that one pair was bigger than the other, when they are in the same size.. The complimentary hemming will not do anything because the width is bigger too. I feel like I'm losing trust in Lululemon. I will still buy Lulu leggings but I will continue to feel ripped off because the quality does not live up to the price point.",2,SWEATY GENERALIST,25-34,VANCOUVER,PETITE,"DECEMBER 12, 2018","Align Pant II 25"""
71,"I have purchased 3 pairs of the Align pants because I was so impressed with the 'naked like' feel they give, I bought one pair and quickly bought two more in different colours... This is where I became disappointed...shortly after purchasing and after only a few wears all three pairs started pilling on the fronts of the legs and in the crotch the stitching has started to come loose on one pair. I now have three pairs that look like ratty leggings, and for $100 pants I feel the quality needs to be improved.",2,SWEATY GENERALIST,25-34,BC,LEAN,"DECEMBER 11, 2018","Align Pant II 25"""
72,I love these pants they were my Favorite pants but they pill so easy and they do not hold up at all i was also told by an employee in the store that they are made for nothing you can not do anything in them except for yoga and that is what i use them for and they still pill how is nothing the same as yoga,2,YOGI,25-34,RED DEER ALBERTA,,"DECEMBER 5, 2018","Align Pant II 25"""
73,"bought these a few months ago and they are completely pilled. I didn't put them in the dryer after reading the reviews, but they still pilled. They were super soft and comfy, but for the price of them they shouldn't be ruined after a couple washes.",2,RUNNER,25-34,"WINNIPEG, MB, CANADA",LEAN,"NOVEMBER 26, 2018","Align Pant II 25"""
