,Review_Text,Rating,Persona,Age,Location,Body_Type,Review_Date,Item_Name
2,I bought these for myself in my true to size pants. All my lulu gear is size 4 but these have bagged and I have camel toe when I wear them now. I didn't know I needed to size down because they give so much because of the material. Wished I owned them in a 2 :( bummer.,1,RUNNER,18-24,"HAMILTON, ONTARIO",SLIM,"SEPTEMBER 23, 2019","Align Pant II 25"""
3,Les.legging align sont ULTRA confortable! Ils sont doux et tiennent bien. Je les adore et je les ai en plusieurs couleurs.,5,SWEATY GENERALIST,35-44,TROIS RIVIERES,ATHLETIC,"SEPTEMBER 23, 2019","Align Pant II 25"""
4,"Align leggings are to die for! The material and fit is like no other pair of leggings I've ever tried. However, on my most recent pair of leggings I found the material to be thinner maybe than others? More susceptible to flaws. I have found that the slight brush against something a little rigid completely snagged these leggings. Other Lululemon leggings are way more susceptible to everyday wear and you don't have to worry about watching were you sit 24/7. Super sad because I do love how they fit and how the material fits just not ideal for (any performance uses, as they tell you when you purchase) but always not for everyday wear either :(",4,SWEATY GENERALIST,18-24,,ATHLETIC,"SEPTEMBER 21, 2019","Align Pant II 25"""
5,I like the pants but they started to pill and sort of fray in between the legs. I tried the aligns for the first time and I would definitely stick to other leggings.,2,RUNNER,18-24,CANADA,ATHLETIC,"SEPTEMBER 19, 2019","Align Pant II 25"""
6,"I was so excited when purchasing my first pair of aligns as I heard it's a staple from Lululemon. Pro: The material is very soft and comfortable, which allows room for flexible exercises. Cons: I noticed slight piling when wearing my aligns to grocery shop. I did not think anything of it until a month later, the fabric in the inner thigh area is bumpy and has noticeably thinned out. I usually wear them for quick errands/yoga days. I throw them in the washer on delicates and hang dry them. So I'd like to say I have taken care of them accordingly. Overall, I'm very disappointed as I loved them at first. However, I wish the $100 quality of the material lasted as it quickly deteriorated. Perhaps it's more suitable for people who's legs don't rub together when walking.",2,YOGI,25-34,"TORONTO, CA",ATHLETIC,"SEPTEMBER 16, 2019","Align Pant II 25"""
7,"My favourite leggings! I love them for every day wear. However, they have seemed to piled a lot in a very short period of time, especially between the thighs. The material also does not have much strength - a small hole in the thigh has gotten increasingly larger and the leggings are no longer wearable... definitely not impressed with the outcome. But did love the initial purchase! That being said, probably would not buy another pair due to the end result.",3,DANCER,18-24,"REGINA, SK",CURVY,"SEPTEMBER 5, 2019","Align Pant II 25"""
8,"Ce pantalon est parfait pour la vie de tous les jours, dans vos activités diverses. Toutefois, la journée que je les ai portés pour une séance d'entraînement... je n'ai pas du tout apprécié le confort du tissu - c'était comme s'il ne laissait pas respirer ma peau. Une drôle de sensation. J'aurai également dû prendre une taille plus petite, puisque ce pantalon ne reste pas en place - il a tendance à descendre lors d'exercices physiques intenses.",3,RUNNER,18-24,SHERBROOKE,ATHLETIC,"SEPTEMBER 2, 2019","Align Pant II 25"""
9,"I loved these pants so much I decided to buy another pair, but unfortunately they wore through so much faster :(. They stretched out so much and pilled like crazy which is super disappointing considering how high of quality I considered these pants to be.",2,SWEATY GENERALIST,18-24,KELOWNA,ATHLETIC,"SEPTEMBER 2, 2019","Align Pant II 25"""
10,"Very disappointing, the align pants are so see through that I cannot wear them outside my house. Not just the bum but the legs as well are so see through! So I can wear them for yoga inside my house but who wants to spend $90 on yoga pants that no one can see you in?
Just a warning for you all!",1,YOGI,25-34,ONTARIO CANADA,SLIM,"SEPTEMBER 2, 2019","Align Pant II 25"""
11,These leggings are disappointing. I have bought from Lululemon the last 15 years. The quality of these is awful. Pilling after a couple wears on inner legs and the material wears out so quickly.,2,,25-34,,ATHLETIC,"AUGUST 30, 2019","Align Pant II 25"""
12,"I bought these leggings in hopes to enjoy the lightweight feel when working out, but after only a month of wearing them, there was extreme pilling everywhere. I expected these leggings to last longer considering the price and quality of other Lululemon products. It seems these leggings are not designed to last through any form of workout. Overall, I was disappointed.",2,SWEATY GENERALIST,18-24,"HALIFAX, NOVA SCOTIA",ATHLETIC,"AUGUST 26, 2019","Align Pant II 25"""
13,"Super sad, I love these pants so much, they're so soft and probably some of my favourite pants from lulu when they're in good condition (first wear or two) but they're SO bad for pilling. I want to buy more but the pilling problem is holding me back. Disappointed.",2,SWEATY GENERALIST,18-24,"EDMONTON, AB",ATHLETIC,"AUGUST 24, 2019","Align Pant II 25"""
14,"When I first purchased these pants I loved them they were extremely soft and the fit was amazing. I loved the high waisted portion and the length was ideal since I found the 28"" too long. Though after the first wash the colour immediately began to fade significantly, despite following all the wash instructions. In addition I began to realize pilling along the pant.",2,,,,,"AUGUST 23, 2019","Align Pant II 25"""
15,"Don't buy these! They might be comfortable at first, but they pile and hold humidity realllll quick. I've chatted for the quality warranty, but Cheyenne kept telling me sweat marks are normal... not when the training has been done for 30 min?!? If you want to look like you peed your pants during a yin yang and pay 98$ for it, these are perfect for you.",2,,,,,"AUGUST 22, 2019","Align Pant II 25"""
16,"Great for lowkey/comfy workout leggings.
Not sweat-wicking.
The lighter colours are not squat proof.
The colours online don't match colours in person.
My favourite leggings from gym -> lifestyle.",4,SWEATY GENERALIST,18-24,TORONTO,ATHLETIC,"AUGUST 21, 2019","Align Pant II 25"""
17,Le matériel est fragile boulonne et le noir déteint,3,,,,,"AUGUST 21, 2019","Align Pant II 25"""
18,"This is my second pair of align 25"" pants in black. the first pair I got was many years ago and are still in good quality. I got a second pair this past December as a gift for Christmas. These pants are so comfortable, but the quality is not the same as the first pair I got many years ago. The pilling is non-stop no matter how much I use my Conair Fabric Dufuzzer. I have followed the care instructions provided by Lululmon, and have limited washing these pants. The color has faded, the steam is slowly coming apart and the pilling is uncontrollable.",3,YOGI,25-34,"WINNIPEG, CANADA",PETITE,"AUGUST 21, 2019","Align Pant II 25"""
19,"Absolutely love the fit of these leggings and they are super comfy. Unfortunately they have lots of pilling and the seam is slowly coming unraveled after only washing them a handful of times. I always hand wash them inside out and hang them to dry, however, they are not holding up. Love these leggings just would expect the quality to be better considering the price that we are paying for them.",3,,18-24,NEWFOUNDLAND,PETITE,"AUGUST 19, 2019","Align Pant II 25"""
20,"This is my 3rd pair and once again, they do not hold up. I follow the care instructions and after a few washes/wears - they pill like crazy. not worth it.",2,SWEATY GENERALIST,18-24,"OTTAWA, ON",CURVY,"AUGUST 19, 2019","Align Pant II 25"""
21,"I can't say enough about how comfortable the align pants are, but now for the downside... they just don't last. My hubby bought me these for a Christmas gift and within a few wears, there was already piling in the inner thighs. I wash them according to instructions and lay flat to dry, but within 3 months they were barely wearable. It's just not worth spending $100+ for tights that I can't wear out anymore. Generally super happy with Lulu products and own other tights and shorts where this problem doesn't exist but incredibly disappointed with this product.",2,SWEATY GENERALIST,35-44,"OTTAWA, ON",ATHLETIC,"AUGUST 19, 2019","Align Pant II 25"""
22,These were my absolute FAVOURITE pair of leggings until they started pilling and the seams started coming apart. Super disappointing because I washed them as directed and hung them to dry etc.,2,SWEATY GENERALIST,18-24,,ATHLETIC,"AUGUST 18, 2019","Align Pant II 25"""
23,"I bought the align pant in the lightish blue colour... They were on sale in store so I figured I would try them on, why not? I normally would wear a 12 in most Lulu clothing but I needed to size down becuase they ended up being too baggy. When I slid the 10s on, boy did they go on like butter, so smooth and so comfortable. I walked along the boardwalk at the Toronto beaches with my boyfriend later yesterday evening and boy am I ever happy I bought them. So breathable, easy to move in... I haven't experienced the pilling as others have been reviewing about, but I mean... My thighs rub together naturally when I walk so all of my work out pants/jeans/sweat pants pill. Won't be an issue for me.",4,DANCER,18-24,"TORONTO, ON, CANADA",CURVY,"AUGUST 18, 2019","Align Pant II 25"""
24,"I recently decided to purchase another pair of my favourite black align leggings in the crop version as they are my staple go-to-leggings from lululemon. I bought my original pair a couple of years back and they were amazing and have lasted for several years. However, when I bought a new pair recently, I've noticed that the quality was different from my original leggings and at first, I thought it was because I had to break them in since they were brand new; however, the more I've been wearing them and testing them out at the gym, I've noticed that the quality is very different from my original pair. The new one's are not as soft and does not feel like skin which was a huge disappointment for me. I don't get how the quality has gone down for lululemon leggings but the prices have gone up and feel as though the leggings are quite different from what they used to be in the past.",1,SWEATY GENERALIST,25-34,"VANCOUVER, BC",SLIM,"AUGUST 18, 2019","Align Pant II 25"""
25,"I love the Aligns so much I just purchased my third one. I have to take a star off just because my second one that I have been wearing a lot more frequently than the first one started pilling on the inner thighs. I always hand wash my Aligns and use my drying rack to hang dry them, but I guess pilling is something I cannot avoid. Otherwise, I would recommend this item to my friend.",4,YOGI,25-34,"VANCOUVER, BC",SLIM,"AUGUST 17, 2019","Align Pant II 25"""
26,"I have worn these items twice and washed twice, there are two places where the seams are coming apart. They're so comfortable and I love them otherwise but super disappointed in the quality as they are not cheap and have always thought of lululemon as a quality manufacturer.",2,SWEATY GENERALIST,25-34,"TORONTO, ON",CURVY,"AUGUST 17, 2019","Align Pant II 25"""
27,I love these pants but am really disappointed that they pilled and the seam broke resulting in a hole. Wished they would have lasted longer.,2,,18-24,ONTARIO,CURVY,"AUGUST 15, 2019","Align Pant II 25"""
28,"I've read the reviews and saw that a lot of people were saying that the leggings were pilling - specially on the inner thighs - and I thought that I should try them out for myself! At first I LOVED them; they were so comfortable and the quality seemed great. I've had them for less than a month now, and yup.. they're pilling alright... and worse, now I can see that there's a whole forming in the inner thighs.. I still like them but I'm disappointed that by the quality and wouldn't recommend them at 98$..",1,SWEATY GENERALIST,25-34,"OTTAWA, ON",SLIM,"AUGUST 12, 2019","Align Pant II 25"""
29,Big lulu fan here- I always consider my purchases worth the extra money for the quality. These are my first disappointing purchase as within 5-6 wears the material is pilling and even tufts of it came off when scratching my leg. Not worth the price tag unfortunately.,3,SWEATY GENERALIST,18-24,ONTARIO,ATHLETIC,"AUGUST 12, 2019","Align Pant II 25"""
30,"i was so excited to get these pants and i do love the look and feel. I did size down as well for a better fit (very stretchy). however, i am very disappointed because they started pilling almost immediately despite washing them as directed, hanging to dry, etc.",1,,,,,"AUGUST 12, 2019","Align Pant II 25"""
31,"I bought these leggings just after Christmas as I had been wanting them for AGES and finally decided to treat myself, I was so happy when I first bought them. They were comfortable and soft, super flattering and honestly, I could not stop wearing them. I had been advised by a couple of people to not put them in the dryer as they will start to pill and stretch. I have never put them in the dryer and yet the pilling is horrible!! It's so disappointing because I own several other pairs of leggings (not align ones) and none of them have pilled the same way these do. I would love to get more of the align leggings but I just don't think it would be worth the money as the quality seems to have gone down hill :(",2,SWEATY GENERALIST,18-24,"NOVA SCOTIA, CANADA",CURVY,"AUGUST 11, 2019","Align Pant II 25"""
32,"at first i LOVED these leggings so much - they are extremely comfortable and easy to move in. I've only had them for about 6 months and the pilling on the left side is AWFUL. I barely wear them anymore because I'm either afraid the pilling will get worse, or just because they don't look that nice anymore. I wash them according to the washing directions and still couldn't prevent the pilling. sad :(",2,SWEATY GENERALIST,18-24,"HALIFAX, NS",ATHLETIC,"AUGUST 11, 2019","Align Pant II 25"""
33,"I don't mind spending the money on Lululemon pants as they are normally high quality and stand up to all my workouts, but not this time. I always loved the feel of the align pant, it's like a second skin. However, my align pants started pilling in the crotch and all along my inner thighs. Now I'm embarrassed to wear them. I take care of my clothes too, and it looks like I'm not the only one who's had the same issue. I'm upset because I really do love these pants and for the money I spent on them I was hoping these would last a lot longer than they did. Now I have a $98 pair of pants sitting in my closet that I'll never wear again.",2,SWEATY GENERALIST,25-34,ALBERTA,MUSCULAR,"AUGUST 10, 2019","Align Pant II 25"""
34,"In the past 6 months I have bought 4 pairs, 3 black and 1 army green pair. I love everything about them - the fit, how they feel while working out, and the look. What I don't love is how fast they pill, and how badly. All four pairs have disappointed me, especially after ensuring proper washing care. The seams are also coming loose. Like any product there are pro's and con's.",3,SWEATY GENERALIST,18-24,"THUNDER BAY, ONTARIO",CURVY,"AUGUST 10, 2019","Align Pant II 25"""
35,"I was very excited when I bought these leggings because I usually love Lululemon products, however after one wear I could already see pilling! Now after having them for only a couple of months they are almost unwearable. I except better quality if I'm spending $100 on a pair of leggings!",1,,,,,"AUGUST 9, 2019","Align Pant II 25"""
36,I wore these in my usual size and after one workout they had completely stretched out and there is so much pilling in the crotch and along the thighs that I am uncomfortable wearing them again. Would recommend sizing down but they are not good quality at all. Very unimpressed considering the price and the hype around these leggings.,1,SWEATY GENERALIST,18-24,"OTTAWA, ON",MUSCULAR,"AUGUST 8, 2019","Align Pant II 25"""
37,"These leggings have the best fit. I used to be number one fan of Gymshark leggings, but then suddenly changed drastically to Lulu's. They make me feel so empowered, so confident. I feel so great and beautiful in these leggings. BUT, I have my black align's for about 2 months now and the stitches are already threading apart. The price I payed for these is the only reason why I am so mad, they can’t even take them back. I have 2 other pairs of Lulu Aligns so I mind a little less but still. IN ALL, they are amazing leggings, but be aware that it is like any other product, it can be dysfunctional.",4,SWEATY GENERALIST,18-24,MONTREAL QC,ATHLETIC,"AUGUST 7, 2019","Align Pant II 25"""
38,"I am completely shocked and disappointed with the quality and longevity of these pants. I have at least 6 pairs of this style (along with other various items from Lululemon) and these have not held up well at all. I haven't had any issues with other products, however these have made me question further purchases. Even though I have followed proper washing instuctions... even gone as far as washing my Aligns separately on the handwash setting. Still haven't held up over 6 months. What a disappointment :(",1,SWEATY GENERALIST,25-34,"BRADFORD, ONTARIO",PETITE,"AUGUST 7, 2019","Align Pant II 25"""
39,"I wasn't expecting this from lululemon... I was really happy when I first tried them on because they felt really smooth and comfy. Then, after a few times of wearing them, I realized that they started pilling. Now, it has been six months since I have bought them and I don't even wear them in public because the pilling shows so much. I'm really disappointed by this product...",1,,,"QC, CANADA",,"AUGUST 6, 2019","Align Pant II 25"""
40,"I love these pants with all of my heart, they really do feel like a second skin and they don't fall down, however I am disappointed by the amount of piling considering I followed washing directions and reserve them for lounging at home or the library only.",3,SWEATY GENERALIST,18-24,"MONCTON, NB",CURVY,"AUGUST 5, 2019","Align Pant II 25"""
41,"Not sure what everyone is saying about the pilling but I own 4 pairs and none of them have pilled. They are all washed hanged to dry, even accidentally slipped into the dryer and they are perfect. so soft and cozy for working out or just wearing around. I've tried all different lulu tights and these are by far my fav's. Love them and highly recommend!",5,RUNNER,35-44,"HAMILTON, ON",LEAN,"AUGUST 4, 2019","Align Pant II 25"""
42,"The material on my recent pair feels lighter and much different from previous pairs. Started pilling immediately and looks too awful to wear to the gym. I always look after my Lululemon pants and wash inside out and hang dry, but these pants are not holding up. Will not buy again.",1,SWEATY GENERALIST,35-44,"MONCTON, NB",PETITE,"AUGUST 4, 2019","Align Pant II 25"""
43,"I swear by my Lululemon align pants. They are virtually the only pair of pants I'll wear to the gym and I love them so much that I've bought them in almost every colour available - which is what makes this so disappointing. I know these are meant for yoga, and I do wear mine to the gym to lift and do cardio, however I only ever wear my coloured ones to the gym and reserve my black ones for lounging around the house. My black pair of these leggings has pilled and stretched so much - crazy because they are the ones receiving the least amount of wear and tear!! I've truly never loved a style of pants so much in my life, but be wary of the different colours and fabric qualities I guess?",2,SWEATY GENERALIST,18-24,"TORONTO, ON",ATHLETIC,"JULY 31, 2019","Align Pant II 25"""
44,"I loved my Align pants but then one day I noticed a hole in the knee of mine, not sure how it happened as I wash and dry my pants as the tag tells. I used to wear these ALL the time to work but now I cant wear them anymore due to the hole on the knee. Not sure if I just got a pair that was bad quality or if they all develop holes easily.",3,RUNNER,18-24,REGINA SK,ATHLETIC,"JULY 25, 2019","Align Pant II 25"""
45,"I typically love Lululemon products (and perhaps this pair were a lemon) but these pants pilled immediately (on top of the thighs and along inner thighs) , after only 1 or 2 wears. I've been happy to spend a bit more on Lululemon products in the past as they have met my expectations in terms of exercise and comfort. I love the material of the Aligns and they are quite comfortable but with this much pilling, I haven't been able to wear them at all and am very disappointed in spending nearly $200 on two pairs that I've barely had the chance to wear before experiencing quality issues.",1,,25-34,"VICTORIA, BC",PETITE,"JULY 24, 2019","Align Pant II 25"""
46,"I love the Align pants. I have them in crops, full length and joggers. They're super comfy and breathe well for any activity, however, for the price that you pay for them, the quality is very poor. I have several pairs that are super pilled between the legs and crotch area and some that have pilled all over. This is very disappointing, especially because I take great care of my lulu's to get the most life out of them. I wash them as recommended in cold water and hang them to dry. I also have some where the seams are coming apart or snagged. I would love them in every colour because they are so comfy, but am hesitant because of the price point and quality!",3,SWEATY GENERALIST,18-24,SASKATCHEWAN,ATHLETIC,"JULY 24, 2019","Align Pant II 25"""
47,so disappointed with these:( I bought two pairs and after the first wear they started pilling. I am normally very happy with my purchases from lulu and think it is worth the extra $$ but to spend $200 on two pairs and not be able to wear them as they look HORRIBLE is really frustrating.,1,,,"SARNIA, ON",,"JULY 24, 2019","Align Pant II 25"""
48,"I have been wearing Luxtreme Lulu tights for years - they are my favourite tight to work out in and the first thing I put on when I get home from work. I recently went to purchase a new pair when I was with a friend and she suggested I try the Align pant. Thought it would be good to try something different. I loved them for the first few wears however, they started pilling a couple weeks after I got them! They now look like an old pair of leggings and my Luxtreme tights still look brand new.
I don't wash them differently than any of my other Lulu gear so not sure why this is happening. I really wanted to like these but the fabric does not preform well.",2,RUNNER,25-34,"TORONTO, ON",ATHLETIC,"JULY 23, 2019","Align Pant II 25"""
49,"I actually love my align pants for working out in and doing yoga, even just relaxing around the house all day. I find they also stay up really well all day and are incredibly comfortable. The only downside is they do pill, pretty quickly. My older pair (around a year or maybe a bit more) is pretty pilled and my newer pair (only a few months old) are already starting to show signs of pilling. It doesn't bother me a TON but it can be a bit distracting and I won't wear my older pair out of my house casually. But if pilling is something that bothers you it might be best to avoid the align!",3,YOGI,25-34,"CALGARY, AB, CANADA",LEAN,"JULY 23, 2019","Align Pant II 25"""
50,"Although these leggings are super soft and incredibly comfy, they pill like crazy. I've had these leggings for 3 months and they're already pilling so badly, that it's almost time to throw them out. I'm extremely disappointed in the quality of these pants, as I've bought leggings in the past from lulu that have lasted me years. Would NOT recommend.",1,SWEATY GENERALIST,18-24,"CALGARY, AB",PETITE,"JULY 22, 2019","Align Pant II 25"""
51,The pants are so nice and cozy to wear but as soon as you start to walk in them after a few days they start to pill and its so uncomfortable with the build up of pilling. Other than that they don't have a high tolerance for sweat fyi...,4,RUNNER,18-24,"FORT ST JOHN, BC",ATHLETIC,"JULY 21, 2019","Align Pant II 25"""
52,"I wanted to love these pants. Everyone has always recommended them to me and have had nothing but great things to say so of course I finally caved and bought a pair. I absolutely LOVED them as soon as I put them on. The material is soft and extremely comfortable and I loved how light weight they were. I loved these so much that about roughly three weeks to a month later I bought a second black pair, and then a third pair in navy. I have had all three of these pants for less than 6 months and the two black pairs are falling apart. The pilling on these pants is insane and way more excessive than I have ever seen in a pair of pants in my life. The seam has also completely worn away on both pairs and now there are multiple holes in these pants. These pants are completely unwearable and I have never been so disappointed in my life with a purchase. I haven't had a problem with the navy pair yet but now I no longer want to wear them because I know the same thing will happen to them as well. DO NOT buy these pants!!! I've never been satisfied with a purchase from lululemon until these pants but now my mind has been changed back and I am once again unsatisfied with the quality. Spending over 100 dollars a pair I expected a much longer life span for these. Despite the delicate material they are four to five months is NOT cutting it especially for the price that they are.",1,SWEATY GENERALIST,18-24,"ST. JOHN'S, NEWFOUNDLAND",CURVY,"JULY 21, 2019","Align Pant II 25"""
53,Super comfy material. However I have started to notice lots of piling with these pants which is weird because I have just recently purchased other align pants and they have no piling and I have worn the other align pants more than these camo ones which were purchased a couple months ago.,2,SWEATY GENERALIST,25-34,BRITISH COLUMBIA,ATHLETIC,"JULY 19, 2019","Align Pant II 25"""
54,"I never bought anything from lululemon until one my friends recommended me to buy these.
I bought my first pair of pants and fell in love with them. These are most comfortable and gives perfect shape. However, after wearing them couple of times it started to pill from inner things. Pilling look so bad that I don’t feel comfortable wearing them. I always hand wash all of my expensive and office clothes and did the same for this one too. I am very disappointed with the quality because of the money I invested in them.",1,RUNNER,18-24,"MISSISSAUGA, ON",ATHLETIC,"JULY 18, 2019","Align Pant II 25"""
55,"I bought my first pair of these leggings back at the start of September of 2018, after only 3 months of having them I ended up having to exchange them due to how bad the pilling was. I'm on my second pair of these leggings and have had them for 8 months, due to the nature of my job I only wear these leggings to lounge in or run errands. After 9 months, they have pilled so bad and the inner seam on my thigh has rubbed away and now there is a big hole. For anyone considering buying these leggings, I would save yourself the $98. These leggings are not worth the money.",2,RUNNER,18-24,"VANCOUVER, BC, CANADA",ATHLETIC,"JULY 17, 2019","Align Pant II 25"""
56,"I love these pants as they are so comfy! However, the seams pilled and the ankle bagged out after a couple wears.",2,,,VANCOUVER,,"JULY 16, 2019","Align Pant II 25"""
57,"I've had these pants in the Red Dust shade for two months, and they have revolutionized my practice.
I can go with either a 6 or an 8, but got an 8 for total comfort.
They are buttery soft, but so well-made. I've washed them quite a few times now, inside out on gentle cold and hung dry, and I haven't experienced any of the pilling some people mention.
They work just as well for a sweaty flow as a chill Sunday restorative class- and walking to and from in between. They stretch up to super-high rise, leaving me feeling secure and confident in my poses. I haven't had issues with them rolling down either.
I tell everyone who does yoga about these leggings. Worth the investment!",5,,25-34,"MISSISSAUGA, ON",CURVY,"JULY 14, 2019","Align Pant II 25"""
58,"I adore aligns. I purchased the crop in a blue shade and haven't had much of a problem with pilling, except for the inner thigh a bit, but not bothersome whatsoever. I have since purchased a black 25"" pair and cannot believe the issues i am having with pilling, all over the pant, not just in the inner thigh region. I am so saddened that these pants have turned into around the house-only pants, because they look horrendous to wear out in public. I have not worked out in them even, they were supposed to be my go-to black leggings but they are just a big disappointment. Can't return either, since its over 30 days, but Im rather dissapointed in the longevity of these. Like I said, my blue shade, no problems.",3,,18-24,"VICTORIA, BC",ATHLETIC,"JULY 14, 2019","Align Pant II 25"""
59,"I am a yogi and I love wearing Aglin pants so much. I have read so many reviews and known many people commented the pants pilled. Based on my experience, I don’t find the pilling problem. However, if you wear bright or light colour pants when you are exercising and you sweat a lot, ie. hot yoga. Your sweat changes the pant’s colour to be darker. It shows lighter colour around your underwear area and darker colour for the rest. To me, it is embarrassing to show your underwear shape on your pants. I recommend buying darker colour.
Beside of that, I would also suggest Lulu to provide more colour choices on super high rise Aglin pants. As far as today, there are only three colour choices…..not so happy about that.",4,YOGI,25-34,TORONTO,CURVY,"JULY 10, 2019","Align Pant II 25"""
60,"I love Lululemon pants and I am happy in investing in a good pair of leggings as long as they hold up. I'm really disappointed in the quality of these leggings. They have pilled and stretched out so quickly. I always take really good care of my Lululemon gear by washing it in cold with other Lululemon clothes and hanging it to dry so I don't understand why these leggings are falling apart so soon. The seams are fraying and the pilling is terrible near the thighs and crotch.
These pants are very comfortable but don't expect them to look good and hold their shape after a couple wears.",2,SWEATY GENERALIST,18-24,CALGARY AB,ATHLETIC,"JULY 9, 2019","Align Pant II 25"""
61,"I have bought three pairs of these pants. I have washed them according to the Lululemon employees recommendations (wash inside out on gentle cycle with other lulu garments and hang dry). However, each pair has pilled horribly and they look awful. Also, they rip very easily.",1,YOGI,25-34,"CALGARY, AB",PETITE,"JULY 8, 2019","Align Pant II 25"""
62,I recently (less than a month ago) purchased two pairs of these pants in a size up from my regular fit (to accommodate my pregnant belly). Noticed the seam around the crotch was different and the material seemed much softer than my previous pants. I LOVE the army print I managed to find! But what happened to the quality of these pants? I have SEVERE pilling between my thighs and crotch already only after a few wears and one wash/hang dry. Almost to the point I don't want to wear them. Disappointed- I was so excited to wear these all through my final months of pregnancy and now I feel self conscious of the pilling.,1,DANCER,25-34,"TORONTO, ON",ATHLETIC,"JULY 7, 2019","Align Pant II 25"""
63,"I am not happy with how they feel, I feel restricted and would not recommend to anyone.",1,RUNNER,25-34,"ALBERTA, CANADA",CURVY,"JULY 6, 2019","Align Pant II 25"""
64,"I should have read the reviews before buying them but of course here we are, they're sooo soft and definitely my new favorite kind of lulus but yeah they start pilling after the first wash :( I'm so sad cause I bought two pairs- the navy blue and the olive green ones and yes they feel amazing but the pilling problem is very real. In all the years I've been wearing lululemon these are the only pants I would technically not recommend to a friend.. but also.. I would? they're so soft.. BUT THE PILLING. it's a toss up - If you can't decide whether to buy them or not, buy them just so you can realize how soft and naked they actually feel, but don't be surprised when they pill LOL",3,SWEATY GENERALIST,18-24,"EDMONTON, AB",CURVY,"JULY 5, 2019","Align Pant II 25"""
65,"I discovered the align leggings a few years ago. I have since owned two pairs. These leggings are hands down the most comfortable and and most flattering leggings I own!
I am obsessed with the fabric, it is SO buttery soft, like a second skin.",3,SWEATY GENERALIST,25-34,"VANCOUVER, BC",ATHLETIC,"JULY 5, 2019","Align Pant II 25"""
66,"I've had these for less than 5 months, at the very longest and are probably the worst product I've purchased with Lulu. Followed wash and care instructions and they pilled almost immediately! I use them now for house cleaning and simple errands just for the fact they don't look as good as any of my other items that I've purchased. Definitely not worth the cost.",1,,,GUELPH,,"JULY 4, 2019","Align Pant II 25"""
