,Review_Text,Rating,Persona,Age,Item_Name
14,"Absolutely love everything about his jacket because of the simple and clean cut and features. It's a classic and necessity in every wardrobe. The fabric is sleek and elegant, and the design is versatile. It could be dressed up or down and be worn in different circumstances. I am 47 years old, 5'4"" height, 115lbs, and purchased size 4. It fits great. So far no issues with the zipper like other reviewers had mentioned. Hopefully this was part of a new batch and those issues will not arise. Fingers crossed.",5,YOGI,45-54,Rain Rebel Jacket
15,Unfortunately I am only Five foot and it’s below my knees. I had to return. This is made for a tall person.,5,YOGI,55-65,Rain Rebel Jacket
16,I love this rain jacket. It is so lightweight! Can easily stuff into my purse as it takes up no room at all. Keeps me dry with lots of pockets inside and out. Great fit too! Recommend if you’re looking for a light layer to run in misty mornings.,5,SWEATY GENERALIST,35-44,Rain Rebel Jacket
17,"I love the style and colors of this jacket and would LOVE to snag one of the brighter colors. I have been desperately waiting for a re stock in size 14.. which seems like all other sizes get replenished except 14.. PLEASE Lululemon, restock in the bigger sizes!",5,SWEATY GENERALIST,25-34,Rain Rebel Jacket
18,This jacket provided the right amount of warmth and protection from rain while traveling. It was easy to pack and did not wrinkle when stuffed into a bag.,5,CYCLIST,25-34,Rain Rebel Jacket
19,"I love the style and color, but the zipper doesn't work! I now see that there has been several complaints about the zipper so it's clearly a well-known problem -- why sell a known faulty product as a final, non-returnable sale?? I love Lululemon, but it's really a bummer that they make all sale products not returnable, whereas other similar athletic brands such as Athleta allows even worn and washed products to be returned at any time if not completely satisfied.",1,SWEATY GENERALIST,35-44,Rain Rebel Jacket
20,"it's a beautiful coat and has a water-resistant element for light rain but it was pouring rain the other day and I so wet, the coat was zero help... I still recommend it as a fashion item, not something I'm going to wear if it's raining",4,,18-24,Rain Rebel Jacket
21,I just took my new purchase on a trip to Alaska. It was perfect!!! Can easily layer underneath. Excellent coverage for rain. So flattering and comfortable. Buying all colors:),5,SWEATY GENERALIST,45-54,Rain Rebel Jacket
22,"I have been looking for a longer rain coat and this one is great! The style is fantastic and, so far, the function has been great. I love the pockets and hood! I noticed the jacket has dried fairly quickly after I have worn it in the rain, but that may be the dry climate. I will test it when I am back east. I saw other concerns about the zipper, and while mine has not broken yet, it does stick and is not the easiest. That is why I am not giving this jacket 5 stars. I think it could also be a little longer, but I am 6 feet so I miss the days when Lululemon had more tall sizes available. This would be great in a tall option and I would buy every color, as I have already bought two in this one and I am moving back to a place where it rains a significant amount. It is also a great coat to throw on if it is just a bit chilly and you want a little warmth, but with style added.",4,SWEATY GENERALIST,35-44,Rain Rebel Jacket
23,"This coat is a great addition to the closet! I never worry about walking in the rain anymore to the train. I also know I have a great sprint coat! After getting the chrome first (my new favorite spring coat), I purchased the black as well. Hood is large so your face is covered and if you want to cinch your waist in the cords in the side give you shape. The length is just right, not too long and definitely gives you the coverage you need in the rain walking to the train or through the city.",5,SWEATY GENERALIST,25-34,Rain Rebel Jacket
24,"This is by far the best rain coat I’ve ever owned. It’s stylish, lightweight, waterproof and comfortable. I love it so much that when I recently lost it on a flight, I immediately ordered another one!",5,,55-65,Rain Rebel Jacket
25,"I bought this coat in black and have taken on several trips since. It is super light-weight so it packs well. It doesn't rumple so you can pull it out of the suitcase and it's ready to go! It's the perfect length to wear over jeans, over tunic tops or over core/yoga pants, yet with a scarf, it dresses up nicely for an evening out in a big city. I LOVE this jacket so much that I ordered one in burgundy, as well. I love that it's not too hot or heavy so it's perfect for mild summer climates when it might rain a bit or when I might need an extra light layer for a cool evening. The perfect jacket for so many occasions. It also cinches in at the waist, making it adjustable for extra layers worn under the jacket, or slims down in the waist with every pound lost!",5,SWEATY GENERALIST,OVER 65,Rain Rebel Jacket
26,"This jacket is the right length, the right cut, great waistline, feminine and then.... the zipper doesn't work! It gets stuck - or its impossible to zip up. Such a bummer - I mean it is expensive for a rain coat!",2,SWEATY GENERALIST,35-44,Rain Rebel Jacket
27,"This jacket is a simple, clean color with a flattering fit. It's warm enough for chilly LA mornings but breathable for warmer, rainy days. The hood has a stiff bill and is adjustable to keep my face and hair dry on a rainy commute. The pockets have a super soft lining for a cozy feel when it's chilly out. Only giving four stars because the pocket lining came torn - easy enough to sew up myself but annoying for a jacket at this price point.",4,,25-34,Rain Rebel Jacket
28,"I bought this cute rain resistant jacket in Canada when visiting Whistler during late ski season. I was so excited to have the light jacket for Seattle spring when we get lots of drizzles but it's pretty warm out. My husband and I are also traveling to Europe this summer and I thought it would be the perfect light jacket to pack for trekking around the Greek Islands after the sun goes down. Unfortunately I've only had the opportunity to wear the jacket a handful of times because the zipper broke. My friend had warned me that she had heard this was a problem with Lulu jackets, but I adamantly defended one of my favorite clothing brands! Well, the jacket got the better of me and the zipper got stuck at the bottom and there is nothing I can do to fix it. I can still step in and step out of the jacket, but it obviously has taken away most of the charm in looking so silly trying to get it on. I also can't wear the jacket with it open in front given the zipper is stuck shut at the bottom. Very sad as the fit and other materials seemed so perfect!",2,SWEATY GENERALIST,25-34,Rain Rebel Jacket
29,"I like the idea of this jacket, however, there is something to be desired in the execution. The sleeves are incredibly long, the shape (albeit a great length) is boxy and the zipper is not great to maneuver. This jacket was a big investment for me financially and I am left disappointed.",1,SWEATY GENERALIST,25-34,Rain Rebel Jacket
30,"I've always loved the jackets from Lululemon. The fit and quality is always worth the extra cost, until I purchased this one. Really disappointed in the quality. The fit is lovely but in comparison to the other 4 jackets I've had in the past, I wouldn't recommend this one. The zipper was tough for the first 3 weeks until it eventually broke!
Sadly, I wouldn't recommend spending the money on this one.",2,RUNNER,35-44,Rain Rebel Jacket
31,"Absolutely love the fabric as it is very soft, however since I bought the jacket I have had a hard time zipping up the jacket and yesterday the zipper finally gave out! Loved this jacket but would not recommend!",2,RUNNER,18-24,Rain Rebel Jacket
32,"Slimming, chic coat to keep you warm and dry and warm in all kinds of weather. Great coat for travel. It looks great with every outfit and doesn’t scream raincoat. And yet it is. Nice color choices, but I chose black because it goes with everything. This will be your go to coat when the weather is questionable.",5,,,Rain Rebel Jacket
33,This rain jacket is incredible and I would definitely recommend it to ANYONE!!,5,,,Rain Rebel Jacket
34,Sleek and functional. Love it.,5,,,Rain Rebel Jacket
35,"Absolutely love this rain jacket. Does a wonderful job repelling water, hood is great. Only thing I wish were different are the pockets everything falls out especially when you sit down. Wish pocket design were different.",4,SWEATY GENERALIST,55-65,Rain Rebel Jacket
36,Bought this at full price. Worn it twice. The zipper constantly sticks.,1,YOGI,25-34,Rain Rebel Jacket
37,"LOVE this raincoat. Great fit. Sweatshirt fits underneath. I sweat, but NOT in this jacket. Great for TO's crappy cloudy, rainy spring. Zipper SEEMED sticky, but works great. Even for arthritic hands!!!!",5,SWEATY GENERALIST,45-54,Rain Rebel Jacket
38,"This is almost a perfect rain,waterproof coat, great for traveling, because it’s a bit roomy
you can wear warm clothing underneath.
The coat is truly waterproof, I got caught in heavy downpours several times and stayed
absolutely dry.",5,,,Rain Rebel Jacket
39,"I have MANY Lululemon jackets and absolutely love them all! This one, as much I love it, the zipper is terrible. It was a little sticky at first but I thought it just needed some wear. Now, I cannot get it undone, so I have to step into my jacket. Good thing is that I can still move the bottom one up but cannot undo it. Unfortunately, I bought this one on clearance, so could not return it.",3,YOGI,55-65,Rain Rebel Jacket
40,"I am a fan of the colour, cut, pockets and hood, but the zipper is really frustrating. Wish I had read more of these reviews before purchasing. Challenging to zip up and especially to unzip. The reverse zip barely works, which is too bad because I wanted to ride this on my bicycle. I would wait for the next version to come out!",2,,25-34,Rain Rebel Jacket
41,This jacket is perfect! I get so many compliments anytime I wear it. It fits wonderfully and looks slimming. 100% waterproof and a decent size hood that keeps the rain out when wearing it!,5,SWEATY GENERALIST,18-24,Rain Rebel Jacket
42,"I really love the jacket - perfectly lightweight for rainy spring days - got the jacket the less than a year ago, just before summer so i've barely worn it and the zipper broke so i can't wear it anymore. Pretty disappointing considering the price and how much i love it.",2,SWEATY GENERALIST,18-24,Rain Rebel Jacket
43,"I love the jacket, don't get me wron g- but I am UTTERLY confused at sizing at Lululemon. One season I'm a 4, next season Im an 8 - theres not stretch in the chest anymore for ladies who have some, theres not stretch in the hips. My sizing changes with the coats of the season and I hope that you take this a valuable feedback to get some consistency.
Ill have to return in order to fit my chest in - even with a 26 inch waist.",3,YOGI,,Rain Rebel Jacket
44,This was the perfect packable rain coat to wear on my trip to the California central coast. I bought the coat one size larger so that I can layer under the coat. Love that I can cinch the waist and that it is right below my knees.,5,,45-54,Rain Rebel Jacket
45,I love this coat so much! I was looking for a lighter rain coat and was excited to find this. I have it in the green. It’s super soft and zips up easy. The cut is great and the zipper at the bottom allows you to sit down. Definitely give this coat a try if you are looking at it!,5,YOGI,25-34,Rain Rebel Jacket
46,I love how nice and simple this jacket looks but the sleeves are too short and too tight! I tried on one size up and it was way too big on me so the person helping me in the store told me to get my usual size and I've regretted it ever since. I can't wear a shirt under this jacket unless it's thin and tight which defeats the purpose of buying this coat because when it rains it's cold and this jacket doesn't have any insulation. I love all my other lululemon jackets but this one wasn't for me.,2,SWEATY GENERALIST,25-34,Rain Rebel Jacket
47,"I have been on the hunt for a good, stylish rain jacket. I thought since I am usually happy with all my lulu purchases I would give this a try. Unfortunately this did not meet my expectations. The arms are short and the jacket is very thin. For the price I expected it not to be like a plastic bag.",1,YOGI,35-44,Rain Rebel Jacket
48,"Love this jacket! I previously had the Cloud Crush Rain Jacket, but this one is way better quality. The style is very flattering, and it has a thin lining on the inside that makes it a little warmer. Overall, great jacket and I definitely would recommend!",4,SWEATY GENERALIST,18-24,Rain Rebel Jacket
49,"This jacket fits perfect I usually wear 6/8 medium in Lulu and baught 8 medium in jacket. I love it, plenty of style and still
Functional",5,,,Rain Rebel Jacket
50,"I absolutely LOVED this jacket. Super comfortable, flattering and perfect for vancouver rain. Unfortunately within the first few months the zipper broke. I came in and got it replaced by my local store, but unfortunately the zipper broke on new jacket they gave me a few months after that. Sucks that such a weak zipper was used on such a great jacket :/",2,YOGI,18-24,Rain Rebel Jacket
51,"The jacket is so flattering. If you are looking for a cute light weight long jacket, then this one is perfect for you!",5,RUNNER,18-24,Rain Rebel Jacket
52,"I really like this rain jacket. I lost my prior lulu rain jacket and had to buy another one. While this one's fabric is a bit thinner than I'd like, the length and cut are very flattering. The sleeve length could be a tad longer and this definitely isn't a jacket to workout in. More for every day use when running errands/to and from trips in the rain.",4,SWEATY GENERALIST,25-34,Rain Rebel Jacket
53,"Purchased for an upcoming trip to rainy UK and Ireland. Usually purchase a 4 or 6 in clothing, and the 6 fit really nicely but I really wanted to be able to wear a few layers with this jacket to get the most flexibility so I sized up to an 8. For reference I am 5'10 and 135lbs. The hood does gather (there is a little tab inside in lieu of a plastic toggle) and same for the back of the garment which is a nice detail, bringing the waist area in if wearing less layers! I also liked that this jacket is lined so it does't feel like a plastic bag on and features inside pockets on each side with zip closures, large enough for a phone and sunglasses. The fabric is smooth and hangs nicely. I also preferred that the jacket doesn't have any gathering detail around the wrist area. I do wish that Lulu could figure out the ongoing zipper problems. I purchased this in store and the first one I tried (and staff assisted) could not unzip at the bottom...",5,SWEATY GENERALIST,35-44,Rain Rebel Jacket
54,"I normally wear a Lululemon 6 but bought an 8 to wear over Irish knit sweaters that I favor this time of year for walks on the beach. It is perfect, and am loving the khaki green and the fit. The material and length of jacket keeps me dry with awesome hood coverage in light rain. Can’t wait to see how it works with forthcoming Ireland trip.",5,YOGI,OVER 65,Rain Rebel Jacket
55,"For reference, I'm 5'9"", 117-120 lbs. Street size 0/2, bra size 34A. Lulu 4 in bottoms (2 in Aligns) and 4/6 in tops.
I loved this jacket - the way it looked, the way it draped on the model online, the feeling of the fabric (different than my other Luly rain jackets), the more sturdy nature of it.",4,SWEATY GENERALIST,25-34,Rain Rebel Jacket
56,"Got the email on Thursday that this jacket was out and went to the store to try in on on Monday. I loved the colour (Deep Ruby), the zipper issues I had read about on other rain coats seems to have been addressed, and the the ability to cinch it up in all kinds of places (especially the hood) was a great feature. The cut was very flattering as well. I also found the material to be thicker and more durable than the Cloud Crush Jacket. Sadly, I realized that a size 12 would be too snug with anything other than a very light sweater and a 14 would be the best fit if I wanted to wear a warmer/thicker layer under it. I rarely find size 14 in stores and they were all sold out in any of the colours online. I'm happy that Lulu is getting more inclusive with their sizing, I just wish they would make more styles and carry more inventory of those styles. I think the fact that the size sold out in 4 days would suggest that I'm not the only one who feels this way! Hope all you smaller-sized ladies grab this while you can!",4,SWEATY GENERALIST,35-44,Rain Rebel Jacket
57,"This jacket has great material that feels very durable and comfortable. I love the fit, although it doesn't stretch much with movement. Overall it was a good buy for spring weather.",4,,18-24,Rain Rebel Jacket
58,Good stays up! Stay warm and dry in whatever climate. I’d advise sizing up if you are more than a B cup.,5,,,Rain Rebel Jacket
59,"Highlights: nice and long, durable zipper, HUGE hood, luxe dark black fabric.",5,SWEATY GENERALIST,25-34,Rain Rebel Jacket
60,Unfortunately the zipper does not work correctly. It's difficult to start the zipper and then I can't unzip from the bottom up. Please contact me on how to resolve this.,1,,,Rain Rebel Jacket
61,"This jacket is very light weight, no insulation at all. I think it would work in light spring rain in Vancouver. But definitley not up to the task of winter rain coat by ANY stretch. I would disagree completely with the other reviewer who says its a tent. I found it true to size. I'm a 6 or 8 in most lulu tops, sweaters and jackets, and the 8 fit well. If I had sized down to a a 6 it would have been too tight on the bottom. The arms are not long at all, in fact I think they're too short. And I would expect that you could adjust the cuffs, but there is no adjustment at all. Also no adjustment on the hood. Overall, I think for the price, this jacket is a terrible deal and I would not recommend until it goes on sale. I would expect something of this flimsy quality to be more like 125$.",3,SWEATY GENERALIST,35-44,Rain Rebel Jacket
62,"I bought this jacket because it looks amazing online.
I was vey disappointed. The jacket is huge. The sleeves are very long and
with no elastic around the wrist I couldn't function while wearing it as the sleeves
kept getting in the way.
You are able to cinch the waist but it then made me feel and look like I was wearing a tent because it lost all shape.
I hope it isn't a rainy season :(",1,RUNNER,45-54,Rain Rebel Jacket
0,I gave these pants as a gift to my girlfriend and she cannot stop raving about how comfortable these pants are. She loves them and waters them to just about any occasion! They are amazing!,5,SWEATY GENERALIST,18-24,"Align Pant 28"""
1,"Just as awesome as the Align, only longer! Great for barre!!",5,SWEATY GENERALIST,55-65,"Align Pant 28"""
2,"Love the fit and feel of these pants, but the pilling is outrageous. The legs and especially the crotch are completely pilled, even after only washing as recommended, and hanging to dry. Disappointed as they were expensive and basically unwearable now.",1,,,"Align Pant 28"""
3,,5,,,"Align Pant 28"""
4,"Align pants feel great and are so soft. A little worried about pilling in the thigh area but trying hard to keep that at bay. I love the dark camo design as it’s a perfect alternative to just plain black leggings which is what I usually only wear. Bought the size 8, 5’7, 136 lbs because I wanted to feel very comfy but I feel enough held in where it counts.",5,SWEATY GENERALIST,35-44,"Align Pant 28"""
5,Best legging for a pregnant lady. I'm currently 6 months pregnant and Align is the legging I do all my workout and grocery shopping in.,5,,,"Align Pant 28"""
6,I have never worn a softer pair of pants. I love the feel and fit. But they really do start pilling almost immediately. I have only washed them twice and in cold water and air dried. Anywhere the fabric rubs (if you sit cross legged or use them for yoga) will be destroyed quickly.,3,YOGI,45-54,"Align Pant 28"""
7,"I LOVE the align pants so much, but am very sad because my Rain coats that are also Lululemon have made pilly patches on the thighs of three pair of Align pants of mine! Although the material is so soft and luxurious it is very delicate. You must be careful what you wear with them.",3,SWEATY GENERALIST,45-54,"Align Pant 28"""
8,When I first received my Align Pant I loved everything about them. Unfortunately after only a few wears they started pilling terribly. I washed them as instructed and hung them to dry. I have not experienced this problem with the Wunder Under collection and I’m pretty disappointed with this product.,2,SWEATY GENERALIST,18-24,"Align Pant 28"""
9,I love love love all of my aligns so much! They feel like butter against my skin and are so flattering! I especially love all of the new prints!,5,DANCER,18-24,"Align Pant 28"""
10,These are just so comfortable. The waistband stays in place and they feel like nothing on. Please keep making new patterns!!,5,YOGI,45-54,"Align Pant 28"""
11,I own many pair of aligns but after wearing these twice and washing them once they are pilling so badly on the butt that I probably shouldn't wear them in public. My aligns that I have owned for almost a year look better than the ones I have owned for less than a month. Waste of money :(,1,YOGI,18-24,"Align Pant 28"""
12,Love the vivid color of blue in these yoga pants .Just the right length. No worry of roll down at the waist. Fabric is so soft. Can I just live in these?,5,YOGI,55-65,"Align Pant 28"""
13,"I've only washed these once and hung to dry, the pilling is still very bad. I own leggings from here that are years older and don't pill like this. I've only owned these for a couple weeks.",2,YOGI,18-24,"Align Pant 28"""
14,These leggings are amazing and so comfortable. I wear them every day. The only problem with them is if your thighs rub together they will pill badly. Even if you wash them correctly the crotch area will pill after a few wears. It’s pretty disappointing since they are so expensive you’d think there would be a way to create fabric that doesn’t pill that easily.,4,,,"Align Pant 28"""
15,"Love these pants, they are so comfy.
However, I have had an odd experience with them recently. I went to take them off the drying rack and there was an area on the band that was damp, so I decided to use my blow dryer to dry the area and they melted. Other than this, the pants fit well, and are very soft and comfortable.",3,YOGI,18-24,"Align Pant 28"""
16,These pants are everything! So soft and light weight. Feels like you aren’t wearing anything,5,SWEATY GENERALIST,25-34,"Align Pant 28"""
17,Loveeee the Align pant! They really are Buttery-soft and I could live in them! Favorite part is how they move with your each and every movement and never need to be adjusted! Highly recommend! I’m 5’ 4” and 140 lbs and got a size 4,5,SWEATY GENERALIST,25-34,"Align Pant 28"""
18,"Love these leggings. They do tend to stretch throughout the day, kind of like jeans so I would size down next time.",5,RUNNER,45-54,"Align Pant 28"""
19,"These pants are SO soft, I love them.",5,YOGI,25-34,"Align Pant 28"""
20,"I absolutely LOVE the align 28” leggings. They are extremely flattering, stretchy, soft and comfortable. They do not slide down while doing daily tasks or working out at all! They are extremely light weight and last FOREVER. I have purchased a few pairs of the align 28” leggings and I will never go back. HIGHLY recommend and even though they’re pricy, they’re worth every penny.",5,SWEATY GENERALIST,18-24,"Align Pant 28"""
21,"I ordered these online after a friend bought a pair. I’ve lost 80lbs and due to loose skin, have a awkward shaped body. I was very nervous about ordering online as I typically need to try on clothes prior to purchasing. My friend recommended a size 8. I was worried it’d be too small. They came in the mail very fast. When I pulled them out of the package I was worried. They looked REALLY small. However, I was proven wrong & pleasantly surprised when I decided to just try them on. They were a perfect fit! They don’t roll down, they’re very comfortable, and they have great tummy control, which is good for my excess belly skin while working out. Extreme weight loss isn’t always beautiful but at least I feel better when wearing these.",5,SWEATY GENERALIST,25-34,"Align Pant 28"""
22,"I have several pairs of Align pants, and they are always top quality. They are so soft, comfortable, and versatile. Not to mention never see through! I have also not had any problems with them pilling. ❤️ these pants!",5,SWEATY GENERALIST,25-34,"Align Pant 28"""
23,My second pair of align pants - love the comfort of the fit and the flattering wasteline.. will certainly buy more!,5,YOGI,35-44,"Align Pant 28"""
24,Love these pants! I am a Yoga Instructor and it is important to me to have pants that do not fold over and I have to fix during my classes and these pants fit the bill!,5,SWEATY GENERALIST,35-44,"Align Pant 28"""
25,"I love the material, loved the style, but the length is extremely short. I’m 6’ tall and the paint goes up to my ankle it is uncomfortable to wear them.",3,RUNNER,45-54,"Align Pant 28"""
26,Align leggings are my FAV. So comfy and wear them almost every day. Don’t know what I would do without them. :):),5,SWEATY GENERALIST,18-24,"Align Pant 28"""
27,"I've now bought three pairs of Align leggings - one pair in 2018, two in 2019. Each different lengths. However, I would strongly recommend not buying these leggings.",1,RUNNER,18-24,"Align Pant 28"""
28,"My favorite yoga pants. They are so comfortable, soft, and cute at the same time!",5,YOGI,35-44,"Align Pant 28"""
29,"I have two pairs of Lululemon, that I love. They no longer fit me (yay!!) so I wanted to buy a new, smaller pair that I could workout in. i ordered the align 28” pair in grey, and they unfortunately were not what I needed. I could tell they were going to pile extremely fast, and also that they would show every sweat stain. I am so disappointed because they are expensive, and I was treating myself but Im not sure if thats a smart move anymore. I really would like to still love this company, i have been a huge fan for years.",1,SWEATY GENERALIST,18-24,"Align Pant 28"""
30,"Very stretchy soft material, beautiful faded color. A little too thin for my taste but overall very comfortable and breathable enough to workout and sweat in.",4,YOGI,18-24,"Align Pant 28"""
31,"My favorite leggings ever! They are so cute, soft and comfortable.",5,,,"Align Pant 28"""
32,"I’ve tried basically every brand, every kind of legging for working out and these are by far my favorite. They are perfect for barre, hot yoga, Pilates, even for just the elliptical. I love that they never roll down or stretch out and are incredibly soft. They dry really fast as well. One thing to keep in mind is that I always have to order a size down in any kind of aligns. I am 5’8”, 118 lbs and usually order a size 4 in wunder under leggings but these are so stretchy that I feel more comfortable and held in with the 2’s. I’ve never had any issues with pilling-just be sure to wash delicate cycle and only with similar athletic materials, and air dry. Truly the only legging you will ever need.",5,SWEATY GENERALIST,35-44,"Align Pant 28"""
33,These leggings are super comfy and very soft. I am 5’5” and 130lbs and I purchased a size four. They were a perfect fit!,5,RUNNER,18-24,"Align Pant 28"""
34,These leggings are a game changer. I don’t want to ever take them off! :) my sister told me how soft and lightweight these are. I was convinced. They feel like you’re wearing nothing. Holds shape great through washes as well!,5,,25-34,"Align Pant 28"""
35,"I LOVE these leggings, I will be buying more.",5,RUNNER,UNDER 18,"Align Pant 28"""
36,They are comfortable and the best thing you could wear. If I could I would wear them every day.,4,RUNNER,UNDER 18,"Align Pant 28"""
37,I was skeptical that they could be that much better than other leggings but I’m definitely in love with these!,5,SWEATY GENERALIST,35-44,"Align Pant 28"""
38,"Absolutely flattering and comfortable. The fabric is very thin and soft. I only get these leggings in darker colors or patterns, because lighter colors make me feel “naked”, literally, and they show sweat in all the places you can imagine, which is a look I don’t like to go for. I wear them for HITT, Yoga and heavy lifting and they hold very well, although they are not intended for lifting. I wash them in delicate cycle and lay them flat to dry and have no issues with pilling. Only time I’ve seen pilling is when the barbell rubbed against the fabric while doing hip thrusts without a pad, but I know that was to be expected, so I don’t have a problem with that. Overall, these are my favorites leggings! Please release more patterns!",5,SWEATY GENERALIST,35-44,"Align Pant 28"""
39,love these leggings! go to & thee most comfortable!,5,,,"Align Pant 28"""
40,Love the fit and the color! Best leggings out there!,5,,18-24,"Align Pant 28"""
41,"I seriously can't stop buying these. I'm a runner, but these stay up perfect even though they are intended for yoga. The ""naked sensation"" is so so comfortable. Also perfect airport pants!",5,RUNNER,18-24,"Align Pant 28"""
42,"These are great......super soft and comfy. I do wish they had slightly more structure/compression to them, but then you’d give up some of the softness.........they are super cute. So glad I added them to my collection.",5,RUNNER,35-44,"Align Pant 28"""
43,"I ordered a pair of the dark olive align pants a few days ago. When they came in I cut the tags and put them on, loving the color. Went to work and noticed a big fuzzy patch on the right leg that looked like velcro had been on it and then ripped off. I feel quite bad leaving a low star review since I love the align products very much.",1,CYCLIST,25-34,"Align Pant 28"""
44,I revived my leggings and love them! So happy I purchased two pairs!! Now the question is what am I going to wear the other five days of the week?,5,,35-44,"Align Pant 28"""
45,"This is my 2nd pair of align leggings and I'm in LOVE
I always hand wash my delicate sports gear so I don't have problem of piling.
The color is exactly the same as the website photos, and I love this soft baby blue color!
I'm exactly 170cm tall and 28"" length fits perfect.
This color does show sweat marks after intense work out routine but I can go by with it.",5,YOGI,25-34,"Align Pant 28"""
46,Bought these because I heard lots of preggo ladies like them. They are awesome!! So comfy so stretchy. I sized up on one pair but really could have gotten my normal size but so comfy!!,5,SWEATY GENERALIST,25-34,"Align Pant 28"""
47,"I was extremely excited to purchase my first pair of leggings and I had come across this pair that I thought were beautiful. I made sure to read the reviews and how to properly care for them. Most reviews had said that pilling was an issue, but I figured if I followed the care that was provided by the company. During my second wear, which both times had just been lounging around, I have experienced extreme pilling. I am scared to continue wearing them. I have EXTREME pilling on the thighs, and even pilling on my but and on the front of my thighs. I am very disappointed as I really wanted to enjoy them.",2,SWEATY GENERALIST,18-24,"Align Pant 28"""
48,These are so soft and comfortable you never want to take them off. Love Lululemon!!,5,,,"Align Pant 28"""
49,The best Lululemon pants ever made.,5,,,"Align Pant 28"""
50,"Too big, fell down when I tried to run",3,,,"Align Pant 28"""
51,"I have bought Lululemon Align's before and they were much thicker fabric than these ones. I was a little skeptical at first but I worked out in them and love them! I wear a size 6 in my other Lulu's so I got a 6 this time as well. I am 5'7"" 165lbs with a good amount of muscle and they were slightly too big, could have gotten away with a size 4. All in all I will be purchasing more!",5,,,"Align Pant 28"""
